//LANCE.dat - Lance's stat-growth chart!
//
// lvl is ignored and just exists for readability.  If you mis-number your level, 
// the system will not use those stats for that level.  IE: The third entry will be for 
// level 3 regardless of what lvl it has listed.
//
// A level-up is triggered when the character has increased his XP by the specified amount.
// for example, to reach level 2, Darin needs 5 XP total.  To reach level 3 he needs 
// 11 more, for a grand total of 16 XP.
//
// When this happens, each of the character's stats alter by the value listed.
//
//lvl	exp	maxhp	maxmp	str	end	mag	mgr	hit%	dod%	stk	fer	rea	ctr
1	0	28	10	11	8	8	9	14	15	1	15	5	10
2	5	2	0	1	0	0	0	1	1	0	0	0	0
3	11	2	1	0	1	1	1	1	1	0	0	0	1
4	18	2	1	1	0	0	1	1	1	0	0	0	0
5	26	2	1	1	1	1	0	1	2	0	0	1	0
6	35	2	0	1	0	0	1	1	1	0	0	0	0
7	45	3	1	1	1	1	0	1	1	0	0	0	0
8	56	2	1	0	0	0	1	1	1	0	0	0	1
9	68	2	0	1	1	1	1	1	1	0	0	0	0
10	81	2	1	1	1	1	0	1	1	0	0	0	0
11	95	2	1	1	0	0	1	1	1	0	0	0	0
12	110	2	1	1	1	1	1	1	1	0	0	0	0
13	126	2	0	0	0	0	0	2	2	0	0	0	1
14	143	2	1	1	1	1	1	1	1	0	0	0	0
15	161	2	1	1	0	0	1	1	1	0	0	1	0
16	180	2	1	1	1	1	0	1	1	0	0	0	0
17	200	2	0	1	1	1	1	1	1	0	0	0	0
18	221	2	1	0	0	0	1	1	1	0	0	0	1
19	243	3	1	1	1	1	0	1	1	0	0	0	0
20	266	2	0	1	0	0	1	1	1	0	0	0	0
21	290	2	1	1	1	1	0	1	2	0	0	0	0
22	315	2	1	1	0	0	1	1	1	0	0	0	0
23	331	2	1	0	1	1	1	1	1	0	0	0	1
24	358	2	0	1	0	0	0	1	1	0	0	0	0
25	386	2	1	1	1	1	1	1	1	0	0	1	0
26	415	2	1	1	1	1	1	1	1	0	0	0	0
27	445	2	0	1	0	0	0	1	1	0	0	0	0
28	486	2	1	0	1	1	1	1	1	0	0	0	1
29	518	2	1	1	0	0	1	1	1	0	0	0	0
30	551	2	1	1	1	1	0	1	2	0	0	0	0
31	585	2	0	1	0	0	1	1	1	0	0	0	0
32	620	3	1	1	1	1	0	1	1	0	0	0	0
33	656	2	1	0	0	0	1	1	1	0	0	0	1
34	693	2	0	1	1	1	1	1	1	0	0	0	0
35	731	2	1	1	1	1	0	1	1	0	0	1	0
36	770	2	1	1	0	0	1	1	1	0	0	0	0
37	810	2	1	1	1	1	1	1	1	0	0	0	0
38	851	2	0	0	0	0	0	2	2	0	0	0	1
39	893	2	1	1	1	1	1	1	1	0	0	0	0
40	936	2	1	1	0	0	1	1	1	0	0	0	0
41	980	2	1	1	1	1	0	1	1	0	0	0	0
42	1025	2	0	1	1	1	1	1	1	0	0	0	0
43	1071	2	1	0	0	0	1	1	1	0	0	0	1
44	1118	3	1	1	1	1	0	1	1	0	0	0	0
45	1166	2	0	1	0	0	1	1	1	0	0	1	0
46	1215	2	1	1	1	1	0	1	2	0	0	0	0
47	1265	2	1	1	0	0	1	1	1	0	0	0	0
48	1316	2	1	0	1	1	1	1	1	0	0	0	1
49	1368	2	0	1	0	0	0	1	1	0	0	0	0
50	1421	2	1	1	1	1	1	1	1	0	0	0	0

END_OF_FILE
