// Items.dat
//
// This datafile contains definitions of all of the 
// Skill Groups this game has.  A skill must belong to a group.
//
// This data gets parsed into the master_item[] array, defined in data.vc
// The maximum number of items is controlled by MAX_ITEMS, defined in data.vc
//    please change this number of you wish to add more items than it currently 
//    allows.
//
// blank lines and commented lines are ignored.  Anything else will be treated as an entry.
//
// Use_Flag is either Battle, Menu, Both, or ignored.
//
// This file best viewed with a tab of 8.
//
//
// Field order:
// Name     Icon    UseFlag target_func effect_func Price   "Description"

Starlight   0   Both    LIVE_OC_targ    starlight_use   300 "Restores 15 MP"
Herb        1   Both    LIVE_OC_targ    herb_use    30      "Restores 30 HP (or something with a really long description)"
Pooh        0   -   -       -       0   "Pooh!"

Thermal_Activator 20    -   -       -       0   "Revives Crystal...somehow."
Bronze_Key  21  -   -       -       0   "Key to the love shack.  Awww yeah."

Pearl_of_Truth  22  Menu    LIVE_OC_targ    pearl_use   0   "Shows the truth to all.  Also opens castle gate and makes Julienne fries!"
West_Tower_Key  21  -   -       -       0   "Key to West Tower"
East_Tower_Key  21  -   -       -       0   "Key to East Tower"
Spire_Key   21  -   -       -       0   "Key to Central Spire"

Medicine    33  Both    A_HP_OC_targ    medicine_use    100 "Restores 45 HP"
Miracle_Brew    34  Both    DEAD_OC_targ    brew_use    250 "Revives a defeated ally"

Sacred_Carrot   40  -   -       -       0   "Item of Absolute Power"
Atlas_Scroll    42  Menu    -       worldmap_use    0   "Shows position on map"
Golden_Switch   43  Menu    -       gswitch_use 0   "Award for completing the Switch Puzzle in the minimum moves."
Something_Cool  44  -   -       -       0   "This is something cool!"
Long_Piece  49 Menu    -    long_piece_use 0   "An unusual object Lance claims opens the way to the Sand Cave."

// Name     	Icon    UseFlag target_func effect_func Price   "Description"
Wooden_Sword	129		-		-			-			50		"It's dangerous to go alone! Take this.|ATK+15"
Iron_Sword		129		-		-			-			50		"Better than the wooden sword, because it's made of metal.|ATK+22"
White_Sword		129		-		-			-			50		"Is your sword white enough? Try Crest WhiteStrips today!|ATK+32"
Paired_Swords	129		-		-			-			50		"This is like a normal sword except there are two. So it's better!|ATK+24, STK+1"
Flaming_Sword	129		-		-			-			50		"As seen in the Bible!|Fire, ATK +45"
Dark_Sword		129		-		-			-			50		"A cursed weapon that brings death to foes.|Dark, ATK+52, CTR+5, adds Death"
Carrot_Blade	129		-		-			-			50		"Surging with power! Sacred blade, smite my enemies!|Holy, ATK+65, adds Grave"
Saladbolg		129		-		-			-			50		"This legendary weapon cleaves opponents in two as easily as chopping tomatoes.|ATK+40, STR+5, HIT+30, FER+100"

Hand_Axe		129		-		-			-			50		"When you don't know what to do, just axe!|ATK+26, FER+25"
Battleaxe		129		-		-			-			50		"This Valentine's Day, say it with axe.|ATK+40, FER+25"

Spear			129		-		-			-			50		"The quintessential weapon: it's long and the end is pointy.|ATK+30, HIT+10"
Steel_Lance		129		-		-			-			50		"10,000 jousters can't be wrong!|ATK+42, HIT+15"
Thunderstroke	129		-		-			-			50		"A spear as swift and deadly as a bolt of lightning.|Electric, ATK+56, HIT+30, adds Paralysis"
Gungnir			129		-		-			-			50		"A legendary spear named after an ancient hero.|ATK+62, HIT+15, +Accurate, resist Blind and Weak"

Staff			129		-		-			-			50		"The thinking man's club.|ATK+10, MAG+4"
Wand			129		-		-			-			50		"Using a weapon this wimpy is really making a statement.|ATK+6, MAG+9, no CTR, no FER"
