// Skills.dat
//
// This datafile contains definitions of all of the 
// Skills this game has.  Skills must be members of a Skilltype
//
// This data gets parsed into the master_skill[] array, defined in data.vc
// The maximum number of items is controlled by MAX_SKILLS, defined in data.vc
//    please change this number of you wish to add more items than it currently 
//    allows.
//
// blank lines and commented lines are ignored.  Anything else will be treated as an entry.
//
// Entries go as follows:
//
// skill_group must reference entries by name in skilltypes.dat
// Any skill that is groupless (aim, focus, whatever) should have a - for skill group.
//
// useflag is either BATTLE, MENU, or BOTH.  Skills are not allowed to not have a valid usetype.
// Reflectflag is REFLECT, NULL, BOTH, NONE
//
// name		skill_group	icon	useflag	target_func	effect_func	MP	Charge	Delay	Reflectflag	"description"

Trouble		Black_Magic	7	MENU	targ_none	temp_skill_func	1	0	0	NONE		"Get into a fight immediately."
Flame		Black_Magic	7 	BATTLE	targ_single_nme	temp_skill_func	4	25	75	BOTH		"Scorch a single enemy with fire."
Inferno 	Black_Magic	7	BATTLE	targ_party_nme	temp_skill_func	8	50	75	BOTH		"Burn all enemies with roaring flames."
Mega_Flame 	Black_Magic	7	BATTLE	targ_single_nme	temp_skill_func	12	50	75	BOTH		"Incinerate a single enemy with atomic fire."
Ice		Black_Magic	7 	BATTLE	targ_single_nme	temp_skill_func	4	25	75	BOTH		"Chill a single enemy with cold."
Blizzard	Black_Magic	7 	BATTLE	targ_party_nme	temp_skill_func	8	50	75	BOTH		"Freeze all enemies in a snowstorm."
Mega_Ice	Black_Magic	7 	BATTLE	targ_single_nme	temp_skill_func	12	50	75	BOTH		"Freeze a single enemy solid with an icy blast."
Bolt		Black_Magic	7 	BATTLE	targ_single_nme	temp_skill_func	4	25	75	BOTH		"Shock a single enemy with electricity."
Storm 		Black_Magic	7 	BATTLE	targ_party_nme	temp_skill_func	8	50	75	BOTH		"Electrocute all enemies in an thunderstorm."
Mega_Bolt	Black_Magic	7 	BATTLE	targ_single_nme	temp_skill_func	12	50	75	BOTH		"Pierce a single enemy with a bolt of lightning."
Baffle		Black_Magic	7 	BATTLE	targ_party_nme	temp_skill_func	5	50	75	BOTH		"Low chance to confuse all enemies."
Charm		Black_Magic	7 	BATTLE	targ_single_nme	temp_skill_func	5	50	75	BOTH		"Good chance to charm one enemy."
Fragile		Black_Magic	7 	BATTLE	targ_single_nme	temp_skill_func	6	25	75	BOTH		"Decreases an enemy's defense."
Depress		Black_Magic	7 	BATTLE	targ_single_nme	temp_skill_func	6	25	75	BOTH		"Decreases an enemy's magic resistance."
Gank		Black_Magic	7 	BATTLE	targ_single_nme	temp_skill_func	8	50	75	BOTH		"Low chance to instantly kill one enemy."
Blood_Suck	Black_Magic	7 	BATTLE	targ_single_nme	temp_skill_func	6	50	75	BOTH		"Steal HP from an enemy."
